net,test case,ground truth,your output,your runtime,your point
fc_7,img5_mnist_0.0551.txt,verified,verified,1.433,1
fc_7,img6_mnist_0.0565.txt,verified,verified,1.388,1
fc_7,img7_mnist_0.0521.txt,verified,verified,1.299,1
fc_7,img8_mnist_0.0744.txt,verified,verified,1.54,1
fc_7,img9_mnist_0.0777.txt,verified,verified,1.338,1
conv_base,img0_mnist_0.0770.txt,not verified,not verified,2.029,0
conv_base,img1_mnist_0.1146.txt,not verified,not verified,2.111,0
conv_base,img2_mnist_0.1222.txt,not verified,not verified,3.016,0
conv_base,img3_mnist_0.1375.txt,verified,verified,2.847,1
conv_base,img4_mnist_0.1163.txt,verified,verified,3.5,1
conv_1,img0_mnist_0.1671.txt,not verified,timeout (not verified),60,0
conv_1,img1_mnist_0.1796.txt,not verified,timeout (not verified),60,0
conv_1,img2_mnist_0.1829.txt,not verified,timeout (not verified),60,0
conv_1,img3_mnist_0.0181.txt,verified,verified,2.036,1
conv_1,img4_mnist_0.1120.txt,verified,verified,2.023,1
conv_1,img5_mnist_0.1049.txt,verified,verified,2.029,1
conv_1,img6_mnist_0.1120.txt,verified,verified,2.003,1
conv_1,img7_mnist_0.1120.txt,verified,verified,1.998,1
conv_1,img8_mnist_0.1272.txt,verified,verified,2.044,1
conv_1,img9_mnist_0.1306.txt,verified,verified,1.967,1
conv_2,img0_mnist_0.1211.txt,not verified,timeout (not verified),60,0
conv_2,img1_mnist_0.1560.txt,not verified,timeout (not verified),60,0
conv_2,img2_mnist_0.1831.txt,not verified,timeout (not verified),60,0
conv_2,img3_mnist_0.0095.txt,verified,verified,9.065,1
conv_2,img4_mnist_0.0974.txt,verified,verified,9.244,1
conv_2,img5_mnist_0.1424.txt,verified,verified,9.486,1
conv_2,img6_mnist_0.1284.txt,verified,verified,9.397,1
conv_2,img7_mnist_0.1582.txt,verified,verified,7.171,1
conv_2,img8_mnist_0.1709.txt,verified,verified,8.366,1
conv_2,img9_mnist_0.1668.txt,verified,verified,9.626,1
conv_3,img0_cifar10_0.0016.txt,not verified,timeout (not verified),60,0
conv_3,img1_cifar10_0.0085.txt,not verified,timeout (not verified),60,0
conv_3,img2_cifar10_0.0153.txt,not verified,timeout (not verified),60,0
